,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Difficulty making decisions,0.10309200656918671,-0.05019971352142377,0.11444283837215702,0.0015873434768763073,-0.044416935256108236,-0.3520395331269894,0.07259562063022118
Faintness or dizziness,0.09095870841261322,0.07720740968200902,0.3595533742204707,-0.016944689445636776,0.012409925554838497,0.013178544284173293,-0.010380497243511422
Feeling afraid in open spaces,0.16867490008163344,0.08945029110422242,-0.008317223362940787,0.04708504694371643,-0.016356700891553944,0.05748467879299028,-0.02994687491390796
"Feeling afraid to travel on buses, subways, or trains",0.1360167996434838,0.11955596170131144,-0.12526255819725413,-0.3174923552962553,0.053354721336489,0.05271051747244433,-0.160343855119789
Feeling blocked in getting things done,0.11272655504876473,-0.11021725719540593,-0.025199481953456643,0.03948078242772607,-0.029893960124915575,0.05369722515956232,0.10176677213922952
Feeling blue,0.059993800482397254,-0.14465429513567857,0.25073522464887676,0.016855618630216562,0.08116507862365206,-0.050577570630357185,-0.12071948319691156
Feeling easily annoyed or irritated,0.06089787138021238,-0.2518019172848368,0.24361638053852191,-0.051291280542449025,0.0002623579317952429,0.0013376342764691096,0.14136807681436658
Feeling fearful,0.11013180627730092,-0.07150071058529671,-0.13017961045356796,0.059125844672067336,0.06456110327970824,0.03361356683093715,-0.0009123818582696952
Feeling hopeless about the future,0.13719716270149984,0.00035617918291064136,0.08112130303656895,0.07289212830905123,0.14026914193580114,-0.18581072963116918,0.034041649490460985
Feeling inferior to others,0.10213086343632005,-0.09263435370821603,-0.11711544812585756,0.0030811708448715835,-0.07013003900839873,0.10603454569792742,-0.17368692932802637
Feeling lonely,0.10867345674031514,-0.06293270564499742,-0.020828365778329326,0.024780241281197057,0.012657400553660027,0.15743141985019093,0.2279019702848378
Feeling lonely even when you are with people,0.1547782863875504,-0.124073401875333,-0.15344257057351382,0.11726499831228857,-0.1363457459309077,0.025067525316760653,0.03166694749123723
Feeling nervous when you are left alone,0.11223685377619036,-0.14151852642518037,0.09497121024066953,-0.08229962457397842,0.24735515597712568,0.07889084427437232,-0.002812647276383487
Feeling no interest in things,0.11951063482783277,-0.12759408862950722,0.3104614418641198,-0.12230829664457506,0.028489441034272717,-0.010674362501138068,-0.35346373920875124
Feeling of guilt,0.10880391777288115,0.000600899398784199,0.16582374321564575,0.04664018975395342,-0.09810709293512562,0.23676315696792055,0.0011206991251940593
Feeling others are to blame for most of your troubles,0.1260063513699894,0.05635023924406803,0.015241189853423782,0.11159243993612551,0.06927494354274669,-0.026267507906521145,-0.0438297125044846
Feeling so restless you couldn’t sit still,0.1344351512065743,-0.2150597759152003,-0.17933905862628477,-0.0878215113712807,-0.030839168018559026,-0.11294143259041697,-0.0917011067486882
Feeling tense or keyed up,0.08609768869747297,-0.15681795623931358,0.04248911174655728,0.034609164703582496,-0.027302802391948162,-0.20331207333347567,0.22061814562660423
Feeling that most people cannot be trusted,0.13322641221532783,-0.05269287279160925,-0.027096884493209246,0.09270249944242956,-0.035357201998969766,-0.047221953066148674,0.157911077116375
Feeling that people are unfriendly or dislike you,0.13464629371256484,0.03170624945833847,-0.08932161058682205,-0.06061718326225682,0.1636947822864326,0.0204049282074799,-0.12638350879179353
Feeling that people will take advantage of you if you let them,0.1290641412290109,-0.13251795005849978,0.0401712943341787,0.021716669114363665,-0.14818634768594166,-0.1331180373172623,-0.024717507105427163
Feeling that you are watched or talked about by others,0.14549442955854053,0.14196621192731712,0.06193979661716419,0.036989659844556474,0.04407207627386482,-0.10291106340114706,0.08906811005726263
Feeling uneasy in crowds,0.11916816262191275,-0.1859916704072408,-0.10825434192243892,0.07360980008674113,0.044181076050473125,0.025471727607493787,0.17122204122193482
Feeling very self-conscious with others,0.16027371240935398,-0.15014906784086318,0.011439981879581887,-0.09476276005728705,-0.13918557777850318,0.11105120057606081,0.0835136085402334
Feeling weak in parts of your body,0.13005223120961157,0.14738761674665465,0.041829015282286365,0.12792758176313287,0.22605525540102472,-0.11434246004254035,-0.08771686617147328
Feelings of worthlessness,0.18587680879368598,0.12392264581001879,-0.09428533867085057,-0.10617726450499679,0.20737237827666063,-0.14711785153517784,-0.18189890482686305
Getting into frequent arguments,0.1896868447004136,-0.15538189835008748,0.05341652629385301,0.2277284848592273,-0.12043242897053542,0.12760871041982075,-0.0349776162498148
"Having to avoid certain things, places, or activities because they frighten you",0.1601451194314214,0.018851048930575216,0.03330000065081406,-0.06070196417081931,0.0016549498865907728,0.009713684197672096,0.4146347702331879
Having to check and double check what you do,0.11274478933392128,-0.07529084490994005,0.08907301432684557,-0.013723545858194016,-0.17144504415874218,-0.04903131620342227,-0.17750169371550484
"Having urges to beat, injure, or harm someone",0.13083629631010688,0.29492276825020886,-0.11179690231077934,0.13774020234477402,-0.16759853285767012,0.1577073750341086,-0.030656694818390055
Having urges to break or smash things,0.1484894699134902,0.0448708893864225,-0.05300428099227447,-0.07197937444845665,0.02178128947712663,0.07658569936121506,0.0026737436919596347
Hot or cold spells,0.12892675956261254,0.11228574966830285,-0.22503766892100222,-0.04014092020967338,0.28093957523422225,-0.11788987563296621,-0.1389372933341319
Nausea or upset stomach,0.1172809448225869,0.01498879697971999,-0.04773213499489766,0.06729477013055897,0.058339861409067814,-0.18184013702304355,0.08054791922510339
Nervousness or shakiness inside,0.11253450370457872,-0.10619363777905579,0.025764645449601817,0.21000657943401282,0.07695824731044798,-0.14901177939317906,-0.07290675967266343
Never feeling close to another person,0.19391531004824925,-0.10844966615293221,0.10582114466628303,0.012381722391891439,0.3515354594743149,0.36031483817429566,-0.12448400001472117
Numbness or tingling in parts of your body,0.14553959007932393,0.20651678793011677,0.08501192937244534,-0.08361823136838166,-0.029836839225577425,0.012837978944400188,0.013848783837389972
Others not giving you proper credit for your achievements,0.16516124748891753,-0.20076083125802202,-0.23280390058884057,0.029183838512915485,0.09395813891934532,-0.07343156388641489,-0.0036818857537468538
Pains in the heart or chest,0.10811057721946497,0.07709836543629477,0.23103299310377953,-0.3430692430712773,0.12020049762911653,-0.05874066255468503,0.1794995028188664
Poor appetite,0.15037588868536084,0.11147855012221089,0.05499927817526409,0.02425827446011586,0.14266909120322294,0.04858638555710913,0.010175934255171633
Spells of terror or panic,0.20196311451730128,0.14649074813624813,-0.12416255450949365,-0.17275851223967706,-0.22703494709606137,-0.2135680570093157,-0.0017547615604984205
Suddenly scared for no reason,0.12449141761527673,0.027117873189476997,0.037650784898486375,0.3559527694007249,0.1283430511395933,0.10294044503699666,0.07084634468271302
Temper outbursts that you could not control,0.18338656988715765,0.26025301839713105,0.15967465630269342,-0.10139324928515615,-0.21451690439461868,-0.1454533537382363,0.155705052183579
The idea that someone else can control your thoughts,0.16962107172278687,-0.1096516770880722,-0.22493423722696484,-0.2519681217542569,-0.32646042320600244,0.2502670659777505,-0.09486566725202213
The idea that something is wrong with your mind,0.14769895640968472,-0.08624309633311152,0.14663941852598927,-0.2937086633472307,0.06018888283022501,0.2525572063952246,0.11636213546229675
The idea that you should be punished for your sins,0.15060933930979054,0.0852641628243298,-0.2024219615334852,0.12366970914871799,0.18739628216135715,0.05735592656657209,0.2729104211377407
Thoughts of death or dying,0.18854265649759006,0.1749305394778711,-0.06021279447434883,0.04681031263231283,-0.10551682818301279,0.03053115533333696,-0.04852734836186017
Thoughts of ending your life,0.14802886242008095,0.3169892269126282,0.18199396474943122,0.2248275949481809,-0.195242267452914,0.19873014948922166,-0.00800369853537027
Trouble concentrating,0.13156137662912804,-0.1733537962794096,0.00817061380085036,-0.007777511774341439,-0.12654966371568943,-0.02765743549368825,0.015079074969263804
Trouble falling asleep,0.10869728827490056,-0.1969606260823371,-0.014858052924791167,-0.0769862277550208,-0.08000323109010797,-0.14417048336246288,-0.0030014397808259584
Trouble getting your breath,0.13101742409476422,0.1285972897626942,-0.10107603047389149,-0.2270456611600965,0.04481422473074833,-0.09829982949535897,-0.03590360342745889
Trouble remembering things,0.12066987256177561,-0.031136189637640196,0.13897311541377563,0.2125378445752953,-0.17097009347436457,-0.11951024276249146,-0.325786849007518
Your feelings being easily hurt,0.1382245238787052,-0.043174803373858116,-0.1418410758039987,0.12602764701229424,-0.017031733616428207,0.06530741004372649,-0.08131401139680398
Your mind going blank,0.11969990188215433,-0.03666083793056841,0.04621317402775703,0.08944345907214611,-0.05392749766905489,-0.19769088634846493,-0.025428783772838533
