,PC1,PC2,PC3,PC4
Difficulty making decisions,0.15215276879736345,0.028581477625465642,-0.01527661462393919,0.2769690423461846
Faintness or dizziness,0.12560092080810623,-0.1370758598769487,-0.04344355501440861,0.15285233654605648
Feeling afraid in open spaces,0.07776457825714184,-0.051378299289145245,0.029575874653550827,-0.058765468818353886
"Feeling afraid to travel on buses, subways, or trains",0.07007876020137477,-0.10134653811455996,-0.09788500006866935,-0.16374305239925754
Feeling blocked in getting things done,0.15217430368046655,0.12577445682937383,-0.06911387389462657,-0.20822927553284704
Feeling blue,0.15107032773839715,-0.035361670261156525,-0.03237883662416506,0.006053270712119046
Feeling easily annoyed or irritated,0.13147031627298744,-0.18819226630558125,-0.1251263784151944,0.10847779240018336
Feeling fearful,0.17161020499077823,-0.019389080296287397,0.08176487710915369,0.23818897630181082
Feeling hopeless about the future,0.18414176562939497,-0.03312710209529101,-0.10288076259696373,0.12414932665290646
Feeling inferior to others,0.13338115531248457,0.05144487155703905,-0.04666637760554797,-0.14762599512395141
Feeling lonely,0.12494880004857047,-0.21743016545745222,-0.0035815512065105574,0.37164540080617015
Feeling lonely even when you are with people,0.13335630406942892,-0.026557600054741587,0.1800489089792121,-0.14727800458201012
Feeling nervous when you are left alone,0.12630949858785706,-0.14677925094488692,-0.0062764808802131715,-0.029540864039843445
Feeling no interest in things,0.15173919496765845,0.11221677720850426,0.1629555491929233,0.016650453812123416
Feeling of guilt,0.13630542307843052,0.05257045849251249,-0.02986133292900428,-0.08746847871150382
Feeling others are to blame for most of your troubles,0.10452347260542351,-0.12425941205656982,-0.11678430240892268,-0.20867343359620835
Feeling so restless you couldn’t sit still,0.17807114346541136,0.00779279374533471,-0.2167083028221401,0.07451687660582038
Feeling tense or keyed up,0.12488446149328596,-0.024233417433879263,-0.1205919120449544,-0.014278600205977618
Feeling that most people cannot be trusted,0.15743269065744744,0.23867011420081893,0.19573919653671518,0.09970107522050782
Feeling that people are unfriendly or dislike you,0.1252630263307833,0.009281826660338811,-0.146695857073078,0.17672804095083022
Feeling that people will take advantage of you if you let them,0.14994948549124043,-0.2575318421988643,-0.10784041448129825,0.039618648684542075
Feeling that you are watched or talked about by others,0.13656169199238977,0.048686586572728695,-0.040221934802438006,-0.08372023846701011
Feeling uneasy in crowds,0.1674689463213349,0.010697385467113274,0.18724451775852427,-0.06847275710565984
Feeling very self-conscious with others,0.13060717231760893,0.013924803385532298,-0.06817264841690622,-0.1561276843929236
Feeling weak in parts of your body,0.13985145745420446,-0.0397922158311072,-0.0942789789891096,0.18629641503871686
Feelings of worthlessness,0.1476432445145662,0.14593172267729915,0.03680932755915149,0.004593242460248444
Getting into frequent arguments,0.13790787579324848,-0.021212424545836002,-0.1522499410140676,0.2052063357120999
"Having to avoid certain things, places, or activities because they frighten you",0.14287645730379997,-0.10766313255899161,-0.206834420856674,-0.26277143695781685
Having to check and double check what you do,0.11891187141401995,-0.3148589076108046,-0.027088214031974787,0.001010653220109627
"Having urges to beat, injure, or harm someone",0.08111025659872786,0.1680184735102156,0.028056754504574,0.03327631769290102
Having urges to break or smash things,0.1081254198609687,0.09125348882300718,-0.12866402443133318,-0.11288340684045968
Hot or cold spells,0.15726208994322044,0.12827132101724054,-0.03033022768410911,-0.05082876450956402
Nausea or upset stomach,0.13924873261840887,0.14763059841367734,-0.07916478461194182,-0.05468174577464528
Nervousness or shakiness inside,0.1644510682127751,0.04886441596366924,0.18909430724116827,-0.007286494840091387
Never feeling close to another person,0.18344842684939247,0.1606747389530666,-0.24446739860307373,0.09976155004573367
Numbness or tingling in parts of your body,0.08237306653815257,-0.0928609885975077,0.1350008925404553,-0.039211776977491626
Others not giving you proper credit for your achievements,0.13792075078826915,-0.09154843161001858,0.07136904794441375,0.2215819175558161
Pains in the heart or chest,0.18531488849591735,-0.055319837876267715,0.3242302886202482,-0.028036004115927094
Poor appetite,0.10307346448898318,-0.013276254152995813,0.1448925996587842,-0.006320303020045584
Spells of terror or panic,0.17649978080052883,0.09295051769712351,-0.16460933817063028,-0.161672778449189
Suddenly scared for no reason,0.10490052285727568,-0.21666059432146073,-0.053335262132737524,0.11996086258861027
Temper outbursts that you could not control,0.1410350842800781,-0.1314469122660244,-0.16213653406279943,-0.24266514058174002
The idea that someone else can control your thoughts,0.11058383237591539,0.1547825741607529,-0.034946130604728474,-0.038399004387907
The idea that something is wrong with your mind,0.1238139875135566,0.14088912289958697,0.19609799311036677,0.049105060330024736
The idea that you should be punished for your sins,0.07964754950520567,0.05311293574558661,-0.11611406310027608,-0.11045917020417
Thoughts of death or dying,0.13320755575032248,0.08211714462127194,-0.09078437340175968,-0.09864354082310432
Thoughts of ending your life,0.16222051319745573,0.3360369470204312,0.056113509009148,0.06655263538580204
Trouble concentrating,0.15495297149373877,0.05771119488839712,0.2153201599255531,-0.049794128224368545
Trouble falling asleep,0.11688458204831084,-0.2851887543438043,0.19291433361335592,-0.22408746180714043
Trouble getting your breath,0.13986577210963377,0.18737590404439045,0.05925099600853751,0.039908953053984175
Trouble remembering things,0.1209526303734328,-0.13020496071260357,0.22436938167181866,-0.056711386623400376
Your feelings being easily hurt,0.14084698647112748,-0.05452121736632107,-0.0022496200087921085,-0.02733763869929074
Your mind going blank,0.09644324773916041,-0.2183961355167972,0.30660421518833453,-0.09557762030195022
