,F1
I am not bothered by things that upset my daily routine,-0.13955640901879093
I become uncomfortable when the rules in a situation are not clear,-0.5817949975088104
I do not like situations that are uncertain,-0.6849594382085993
I enjoy having a clear and structured mode of life,-0.5138293744974
I enjoy the exhilaration of being put in unpredictable situations,-0.19493470871057803
I hate to be with people that are unpredictable,-0.39933674714777295
I hate to change my plans at the last minute,-0.3307439845257005
I like a place for everything and everything in its place,-0.6128570003326413
I like being spontaneous,-0.5764049679975093
I ﬁnd that a consistent routine enables me to enjoy life more,-0.7012985939211156
I ﬁnd that a well-ordered life with regular hours makes my life tedious,-0.24795057213621272
It upsets me to go into a situation without knowing what I can expect from it,-0.37336888105345895
