,F1,F2
I am not bothered by things that upset my daily routine,-0.47531228814861776,-0.042656493604459174
I become uncomfortable when the rules in a situation are not clear,0.2994067722449513,0.3092424706560912
I do not like situations that are uncertain,0.26869926357159435,0.1151796186076176
I enjoy having a clear and structured mode of life,-0.09273374357111679,0.6011262804652397
I enjoy the exhilaration of being put in unpredictable situations,0.5730962970258788,0.10081842835332906
I hate to be with people that are unpredictable,0.6570602691390909,-0.19525054588444363
I hate to change my plans at the last minute,0.7705990497279247,0.010424442101668317
I like a place for everything and everything in its place,-0.07381809120713487,0.6670729739014901
I like being spontaneous,0.1577722202259069,0.2549568960141557
I ﬁnd that a consistent routine enables me to enjoy life more,0.20790634902387692,0.5297445646604602
I ﬁnd that a well-ordered life with regular hours makes my life tedious,0.557454038579346,-0.09084266122394463
It upsets me to go into a situation without knowing what I can expect from it,0.5749324133330613,0.12903022355233962
