,F1,F2,F3
I am not bothered by things that upset my daily routine,-0.25768591800716234,0.03626430821121005,0.3106940778908726
I become uncomfortable when the rules in a situation are not clear,0.6195061859769964,-0.32244588685422715,0.2809275883104889
I do not like situations that are uncertain,0.7675545339909473,0.1925318625146516,-0.2679630526334313
I enjoy having a clear and structured mode of life,0.01275447148870333,0.016630341939006983,0.5773805632982618
I enjoy the exhilaration of being put in unpredictable situations,0.014282015652050341,0.6490994333377748,0.39553033703895046
I hate to be with people that are unpredictable,0.7851587387987288,-0.11145159078671173,-0.008095437865663128
I hate to change my plans at the last minute,0.7361341603843183,0.27528596953894674,0.006759089074920317
I like a place for everything and everything in its place,-0.06929064887832359,0.22772844327307334,0.6486883773420509
I like being spontaneous,0.0481328217269751,0.9057613822957504,-0.034699891657918105
I ﬁnd that a consistent routine enables me to enjoy life more,0.29036925525631646,-0.23518829954290843,0.45474662575412156
I ﬁnd that a well-ordered life with regular hours makes my life tedious,0.2562142463813369,0.10019378875639477,-0.15604633725646289
It upsets me to go into a situation without knowing what I can expect from it,0.721287095058276,-0.07339352019487015,0.15508793133908433
